episode_id,ticker,date,timeframe,time,close,MTM3,MTM10,OBV,OBV_MA3,BBI,role
E004,XAUUSD,2026-08-07,5m,19:15,4319.49,2.76,7.05,,,4319.08,LEAD
E004,XAUUSD,2026-08-07,5m,19:20,4320.38,-3.32,6.66,,,4319.27,LEAD
E004,XAUUSD,2026-08-07,5m,19:25,4324.23,-0.97,8.44,,,4319.91,LEAD
E004,XAUUSD,2026-08-07,5m,19:30,4324.97,5.48,7.77,,,4320.82,LEAD
E004,XAUUSD,2026-08-07,5m,19:35,4324.96,4.58,8.19,,,4321.61,LEAD
E004,XAUUSD,2026-08-07,5m,19:40,4323.28,-0.95,5.08,,,4322.0,LEAD
E004,XAUUSD,2026-08-07,5m,19:45,4322.83,-2.14,5.52,,,4322.15,LEAD
E004,XAUUSD,2026-08-07,5m,19:50,4323.82,-1.14,7.09,,,4322.28,LEAD
E004,XAUUSD,2026-08-07,5m,19:55,4325.74,2.46,2.04,,,4322.66,LEAD
E004,XAUUSD,2026-08-07,5m,20:05,4319.67,,,,,,LEAD
E004,XAUUSD,2026-08-07,5m,20:15,4314.89,,,,,,TURNING_ZONE
E004,XAUUSD,2026-08-07,5m,20:25,4310.52,,,,,,TURNING_ZONE
E004,XAUUSD,2026-08-07,5m,20:30,4311.1,-3.79,-12.18,,,4315.81,TURNING_ZONE
E004,XAUUSD,2026-08-07,5m,20:35,4360.4,46.81,,,,4323.2,CONFIRM_OR_LAG
E004,XAUUSD,2026-08-07,5m,20:45,4366.41,55.31,,,,4340.55,CONFIRM_OR_LAG
