episode_id,ticker,date,timeframe,time,close,MTM3,MTM10,OBV,OBV_MA3,BBI,role
E003,2454.TW,2026-08-07,5m,12:20,3860,-15,-4.0,-2556,-2469,3883.0,LEAD
E003,2454.TW,2026-08-07,5m,12:25,3880,-5,-4.0,-2470,-2498,3881.44,LEAD
E003,2454.TW,2026-08-07,5m,12:30,3875,5,-6.0,-2501,-2509,3880.58,LEAD
E003,2454.TW,2026-08-07,5m,12:35,3885,25,-5.5,-2448,-2473,3882.05,LEAD
E003,2454.TW,2026-08-07,5m,12:40,3865,-15,-7.5,-2488,-2479,3879.16,LEAD
E003,2454.TW,2026-08-07,5m,12:45,3860,-15,-8.5,-2526,-2487,3876.44,LEAD
E003,2454.TW,2026-08-07,5m,12:50,3850,-35,-11.0,-2596,-2537,3870.57,TURNING_ZONE
E003,2454.TW,2026-08-07,5m,12:55,3840,-25,-11.0,-2779,-2634,3865.19,TURNING_ZONE
E003,2454.TW,2026-08-07,5m,13:00,3875,15,-8.0,-2692,-2689,3865.43,TURNING_ZONE
E003,2454.TW,2026-08-07,5m,13:05,3900,50,-1.5,-2591,-2687,3871.99,TURNING_ZONE
E003,2454.TW,2026-08-07,5m,13:10,3895,55,5.5,-2677,-2653,3879.04,CONFIRM_OR_LAG
E003,2454.TW,2026-08-07,5m,13:15,3885,10,7.0,-2727,-2665,3881.49,CONFIRM_OR_LAG
E003,2454.TW,2026-08-07,5m,13:20,3900,0,6.5,-2576,-2660,3885.11,CONFIRM_OR_LAG
E003,2454.TW,2026-08-07,5m,13:25,3895,0,4.0,-2942,-2748,3886.52,CONFIRM_OR_LAG
E003,2454.TW,2026-08-07,5m,13:30,3900,15,7.0,-2521,-2680,3888.91,CONFIRM_OR_LAG
