ticker,species,alignment_score,observations,avg_future_1,median_future_1,positive_rate_1,avg_future_3,median_future_3,positive_rate_3,avg_future_6,median_future_6,positive_rate_6,avg_future_12,median_future_12,positive_rate_12
0050.TW,ETF Benchmark,0,95,0.038176512758676465,0.0239937875346818,50.0,0.08679858181485124,0.048068439673587454,52.17391304347826,0.089290830411103,0.0488279369093791,53.2608695652174,0.10972700036694497,-0.09624878756265826,41.11111111111111
0050.TW,ETF Benchmark,1,51,-0.06367572249781481,-0.0493857301311684,35.294117647058826,-0.018239740332055637,0.0,41.17647058823529,0.03149117402767754,-0.0727457895273009,46.0,0.04900000089147981,-0.097893756854972,44.89795918367347
0050.TW,ETF Benchmark,2,64,-0.01690532892457547,0.0239671241133443,50.0,-0.09658877036607792,-0.09655061050202195,29.6875,-0.07719402958872178,-0.0968508223933128,36.507936507936506,-0.04653216865939346,-0.14591867837820954,40.32258064516129
0050.TW,ETF Benchmark,3,44,0.06244255348236644,0.0,36.36363636363637,0.11415013301304602,0.0486336778979579,52.27272727272727,0.14797931852856233,0.0478498102945534,51.162790697674424,0.22337573653175988,0.0979896826366344,56.09756097560976
2330.TW,Mega Cap Semiconductor,0,116,0.09834487738640146,0.0,45.689655172413794,0.14722591896727472,0.0,45.614035087719294,0.1488214714672309,0.0,48.214285714285715,0.07912813527860889,0.0,46.788990825688074
2330.TW,Mega Cap Semiconductor,1,59,-0.087934214011457,0.0,11.864406779661017,-0.16202180817108744,0.0,18.64406779661017,-0.169795854671581,-0.21030517470145835,20.689655172413794,-0.15163056796819593,-0.2100840336134446,25.0
2330.TW,Mega Cap Semiconductor,2,37,-0.1167311292054875,0.0,11.11111111111111,-0.11085809586243321,0.0,22.22222222222222,-0.06878036714927403,0.0,30.555555555555557,-0.0038690212759355186,0.0,47.22222222222222
2330.TW,Mega Cap Semiconductor,3,42,-0.044956762282161424,0.0,16.666666666666664,-0.08911632223897194,-0.10351966873706205,19.047619047619047,-0.15912183280686623,0.0,26.190476190476193,-0.15441103655324426,0.0,21.951219512195124
2454.TW,IC Design,0,108,0.08590117875269244,0.0,25.925925925925924,0.40266652328538327,0.0,25.233644859813083,0.7121405712694329,0.0,28.971962616822427,1.269034361108795,0.0,25.471698113207548
2454.TW,IC Design,1,81,-0.010587536138629557,0.0,17.5,-0.06421970045616371,0.0,21.25,-0.10728696205838613,0.0,23.076923076923077,-0.22899916932893688,0.0,22.666666666666664
2454.TW,IC Design,2,27,-0.003937632458173017,0.0,37.03703703703704,-0.07339287162955219,-0.1269035532994955,29.629629629629626,-0.22952323505686842,0.0,22.22222222222222,-0.14877549133078996,-0.5201560468140465,36.0
2454.TW,IC Design,3,34,0.0739182055971226,-0.12392049433067595,20.588235294117645,-0.11106608219764708,-0.1303780964797884,30.303030303030305,0.09691516531678859,-0.30912626980448277,28.125,0.49507649563365724,-0.3807112730153994,25.0
2882.TW,Financial,0,116,0.02483012326944744,0.0,33.62068965517241,0.015497707028296037,0.0,35.96491228070175,-0.0783330907641181,0.0,38.93805309734513,-0.13610523030897337,-0.2022290945914551,35.13513513513514
2882.TW,Financial,1,57,-0.024126092554099417,0.0,19.298245614035086,-0.04985324921769101,0.0,22.807017543859647,-0.0675064420853716,-0.10121313495994319,30.357142857142854,-0.09303053882484454,0.0,27.77777777777778
2882.TW,Financial,2,40,-0.08320957069692053,0.0,23.076923076923077,-0.07643911151483518,-0.1018314432064571,17.94871794871795,0.11032621931029485,0.0,31.57894736842105,-0.026497220930530127,0.0,32.432432432432435
2882.TW,Financial,3,41,0.02817682236080177,0.0,31.70731707317073,0.03869197658540461,0.0,34.146341463414636,0.07352738880060208,-0.1014183323211126,39.02439024390244,0.17361019962531757,0.0,45.0
8291.TWO,Stress Test / Thin Liquidity,0,12,-0.8432259658109658,0.0,16.666666666666664,-0.18179951464575753,-0.28849741735345047,25.0,-1.1946053320677599,-1.230409321244047,33.33333333333333,1.7757817287462399,7.492790826961482,62.5
8291.TWO,Stress Test / Thin Liquidity,1,12,1.4277686846200555,0.0,33.33333333333333,1.3520963741410044,0.0,45.45454545454545,5.365097169382474,8.115939817566797,72.72727272727273,11.271735364926494,9.383378208014737,88.88888888888889
8291.TWO,Stress Test / Thin Liquidity,2,6,-0.5428976553216096,0.24509897877373896,50.0,-0.5519507311119632,0.2444950376293331,60.0,-1.7277114457079463,-1.7277114457079463,50.0,-2.7367586140826274,-2.7367586140826274,50.0
8291.TWO,Stress Test / Thin Liquidity,3,4,3.1622840186914005,3.970583747414991,66.66666666666666,3.157383441669822,5.516268308659211,66.66666666666666,0.8459744568253722,6.082041354125867,66.66666666666666,5.723848837369464,14.56860466245593,66.66666666666666
GC=F,Gold / Asia-session Slice,0,83,0.005202310287892173,-0.0047703029328549,42.168674698795186,0.056091909533596794,-0.00238754099582405,47.5609756097561,0.07781437332466959,0.0312685767805853,57.49999999999999,0.2535105756164494,0.084994780907821,63.29113924050633
GC=F,Gold / Asia-session Slice,1,37,0.004563596723625838,0.0115628319091731,54.054054054054056,0.02739672436849965,0.02626948068158435,55.55555555555556,0.25004956048365073,0.0185325939593417,60.0,0.4288373334639118,0.1116799625212383,54.54545454545454
GC=F,Gold / Asia-session Slice,2,49,0.09113188839156643,0.00973217709627765,52.083333333333336,0.11346184916827538,0.02291306408879195,60.416666666666664,0.14386324068424045,0.0703510199780654,58.333333333333336,0.3479152411312748,0.0858638099588082,63.829787234042556
GC=F,Gold / Asia-session Slice,3,40,-0.0015927419178174474,0.0,47.5,0.08745531468316359,0.0060599251893944,55.00000000000001,0.186325854459444,0.0607369169459137,55.00000000000001,0.22133189756014085,0.04696412498483845,68.42105263157895
