episode_id,ticker,date,timeframe,time,close,MTM3,MTM10,OBV,OBV_MA3,BBI,role
E002,0050.TW,2026-08-07,5m,12:30,102.6,0.0,-0.03,-367848,-367959,102.62,LEAD
E002,0050.TW,2026-08-07,5m,12:35,102.6,0.1,-0.04,-367848,-367848,102.63,LEAD
E002,0050.TW,2026-08-07,5m,12:40,102.45,-0.15,-0.05,-368582,-368093,102.6,LEAD
E002,0050.TW,2026-08-07,5m,12:45,102.25,-0.35,-0.07,-370237,-368889,102.54,TURNING_ZONE
E002,0050.TW,2026-08-07,5m,12:50,102.3,-0.3,-0.08,-369709,-369509,102.48,TURNING_ZONE
E002,0050.TW,2026-08-07,5m,12:55,102.15,-0.3,-0.09,-371628,-370525,102.42,TURNING_ZONE
E002,0050.TW,2026-08-07,5m,13:00,102.35,0.1,-0.08,-370913,-370750,102.4,TURNING_ZONE
E002,0050.TW,2026-08-07,5m,13:05,102.8,0.5,-0.04,-370091,-370877,102.46,CONFIRM_OR_LAG
E002,0050.TW,2026-08-07,5m,13:10,102.75,0.15,0.15,-369589,-369864,102.52,CONFIRM_OR_LAG
E002,0050.TW,2026-08-07,5m,13:15,102.7,-0.1,0.1,-369866,-369849,102.58,CONFIRM_OR_LAG
E002,0050.TW,2026-08-07,5m,13:20,102.75,-0.05,0.3,-369489,-369648,102.63,CONFIRM_OR_LAG
E002,0050.TW,2026-08-07,5m,13:25,102.75,-0.05,0.45,-368708,-369354,102.68,CONFIRM_OR_LAG
E002,0050.TW,2026-08-07,5m,13:30,102.85,0.05,0.5,-367022,-368406,102.73,CONFIRM_OR_LAG
