episode_id,ticker,date,timeframe,time,close,MTM3,MTM10,OBV,OBV_MA3,BBI,role
E001,2330.TW,2026-08-07,5m,12:30,2365,5,0.0,-36722,-36823,2364.11,LEAD
E001,2330.TW,2026-08-07,5m,12:35,2365,5,-5.0,-36722,-36772,2364.25,LEAD
E001,2330.TW,2026-08-07,5m,12:40,2360,0,-10.0,-36878,-36774,2363.84,LEAD
E001,2330.TW,2026-08-07,5m,12:45,2355,-10,-5.0,-37381,-36994,2362.43,TURNING_ZONE
E001,2330.TW,2026-08-07,5m,12:50,2355,-10,-5.0,-37381,-37213,2360.96,TURNING_ZONE
E001,2330.TW,2026-08-07,5m,12:55,2360,0,0.0,-37052,-37271,2360.55,TURNING_ZONE
E001,2330.TW,2026-08-07,5m,13:00,2355,0,-10.0,-37206,-37213,2359.54,TURNING_ZONE
E001,2330.TW,2026-08-07,5m,13:05,2370,15,10.0,-36050,-36769,2361.39,CONFIRM_OR_LAG
E001,2330.TW,2026-08-07,5m,13:10,2370,10,10.0,-36050,-36435,2363.06,CONFIRM_OR_LAG
E001,2330.TW,2026-08-07,5m,13:15,2370,15,10.0,-36050,-36050,2365.21,CONFIRM_OR_LAG
E001,2330.TW,2026-08-07,5m,13:20,2370,0,,-36050,-36050,2365.83,CONFIRM_OR_LAG
E001,2330.TW,2026-08-07,5m,13:25,2375,5,,-35269,-35790,2367.6,CONFIRM_OR_LAG
E001,2330.TW,2026-08-07,5m,13:30,2370,0,,-38955,-36758,2367.96,CONFIRM_OR_LAG
