run_time,ticker,bar_start,broker_bar_end,close,previous_close,daily_change,daily_change_pct,volume_shares,volume_lots,wr5,psy12,psy24,k,d,j,wr5_previous,psy12_previous,psy24_previous,j_previous,wr_direction,psy12_direction,psy24_direction,j_direction,alignment_score,alignment,three_in_one_status,wr_status,psy12_status,psy24_status,j_status,freshness,quote_age_minutes,safety_notice,bias3,mtm3,di_osc,d_minus_m
2026-08-06 11:10:32,0050.TW,2026-08-06 13:20,2026-08-06 13:25,103.1500015258789,103.8000030517578,-0.6500015258789062,-0.6262056905285406,73957367,73957.367,-66.66666666666667,33.33333333333333,37.5,64.31068475818984,60.30746065010076,72.317132974368,-42.85776566757493,41.66666666666667,37.5,89.45248574224016,↓,↓,→,↓,0,0/3,🔴 NO UPWARD ALIGNMENT,⚪ NEUTRAL,⚪ NEUTRAL,⚪ NEUTRAL,⚪ NEUTRAL,🔴 STALE,350.54915678333333,Outdated data — refresh before interpretation,,,,
2026-08-06 11:10:33,2330.TW,2026-08-06 13:20,2026-08-06 13:25,2375.0,2405.0,-30.0,-1.2474012474012477,15995690,15995.69,-50.0,25.0,33.33333333333333,40.8184014021995,48.30395320839892,25.847297789800663,-100.0,25.0,29.166666666666668,4.589348086900486,↑,→,↑,↑,2,2/3,🟡 TWO OF THREE ALIGNED,🟢 TRIGGERED,🔴 LOW,⚪ NEUTRAL,🟡 LOW — RECOVERING,🔴 STALE,350.5510296333333,Outdated data — refresh before interpretation,,,,
2026-08-06 11:10:33,2454.TW,2026-08-06 13:20,2026-08-06 13:25,3930.0,4000.0,-70.0,-1.7500000000000002,5470668,5470.668,-50.0,33.33333333333333,33.33333333333333,65.29339181823673,63.73086023266609,68.418454989378,-50.0,41.66666666666667,33.33333333333333,67.92107430230371,→,↓,→,↑,1,1/3,⚪ EARLY / ISOLATED MOVEMENT,⚪ NEUTRAL,⚪ NEUTRAL,⚪ NEUTRAL,⚪ NEUTRAL,🔴 STALE,350.55293718333337,Outdated data — refresh before interpretation,,,,
2026-08-06 11:10:33,2882.TW,2026-08-06 13:20,2026-08-06 13:25,97.9000015258789,100.5,-2.5999984741210938,-2.5870631583294466,12732964,12732.964,-66.66624281572656,16.666666666666664,20.833333333333336,22.35058582773112,17.707784052358196,31.636189378476963,-83.33248563145312,16.666666666666664,16.666666666666664,19.80423411903643,↑,→,↑,↑,2,2/3,🟡 TWO OF THREE ALIGNED,🟢 TRIGGERED,🔴 LOW,🟡 LOW — RECOVERING,🟢 RECOVERY TRIGGER,🔴 STALE,350.5547950166667,Outdated data — refresh before interpretation,,,,
2026-08-07 02:34:44,0050.TW,2026-08-07 10:10,2026-08-07 10:15,102.9000015258789,103.04000091552734,-0.1399993896484375,-0.1358689716658772,29100702,29100.702,-9.99908447265625,50.0,45.83333333333333,28.10835630841284,22.471351890456155,39.3823651443262,-88.88832375430209,41.66666666666667,41.66666666666667,7.76990172712452,↑,↑,↑,↑,3,3/3,🟢 THREE-IN-ONE RESONANCE,🟢 TRIGGERED,⚪ NEUTRAL,⚪ NEUTRAL,🟢 RECOVERY TRIGGER,🟡 DELAYED,24.73842593333333,Research only — do not use for execution,,,,
2026-08-07 02:34:44,2330.TW,2026-08-07 10:10,2026-08-07 10:15,2375.0,2365.0,10.0,0.4228329809725158,5768139,5768.139,-0.0,25.0,33.33333333333333,42.109339972127,32.952195848897205,60.4236282185866,-0.0,16.666666666666664,29.166666666666668,42.7447823000069,→,↑,↑,↑,2,2/3,🟡 TWO OF THREE ALIGNED,⚪ NEUTRAL,🟡 LOW — RECOVERING,⚪ NEUTRAL,⚪ NEUTRAL,🟡 DELAYED,24.74067095,Research only — do not use for execution,,,,
2026-08-07 02:34:44,2454.TW,2026-08-07 10:10,2026-08-07 10:15,3925.0,3920.0,5.0,0.1275510204081632,2662040,2662.04,-50.0,58.333333333333336,50.0,17.598422617451376,16.975401593704834,18.84446466494446,-88.88888888888889,50.0,50.0,3.007976757725231,↑,↑,→,↑,3,3/3,🟢 THREE-IN-ONE RESONANCE,🟢 TRIGGERED,⚪ NEUTRAL,⚪ NEUTRAL,🟡 LOW — RECOVERING,🟡 DELAYED,24.7432958,Research only — do not use for execution,,,,
2026-08-07 02:34:44,2882.TW,2026-08-07 10:10,2026-08-07 10:15,99.3000030517578,97.5,1.8000030517578125,1.8461569761618588,4694394,4694.394,-0.0,58.333333333333336,41.66666666666667,56.224266282581965,42.45154965068001,83.76969954638588,-0.0,50.0,37.5,50.62845797565636,→,↑,↑,↑,2,2/3,🟡 TWO OF THREE ALIGNED,⚪ NEUTRAL,⚪ NEUTRAL,⚪ NEUTRAL,⚪ NEUTRAL,🟡 DELAYED,24.745881166666667,Research only — do not use for execution,,,,
2026-08-07 02:36:38,0050.TW,2026-08-07 10:15,2026-08-07 10:20,102.9499969482422,103.04000091552734,-0.0900039672851562,-0.0873485699587113,29475114,29475.114,-0.0,50.0,50.0,43.072609714231454,28.90268451835384,71.4124601059867,-19.99969482421875,50.0,45.83333333333333,34.806955354038294,↑,→,↑,↑,2,2/3,🟡 TWO OF THREE ALIGNED,⚪ NEUTRAL,⚪ NEUTRAL,⚪ NEUTRAL,⚪ NEUTRAL,🟡 DELAYED,21.63736455,Research only — do not use for execution,,,,
2026-08-07 02:36:38,2330.TW,2026-08-07 10:15,2026-08-07 10:20,2375.0,2365.0,10.0,0.4228329809725158,5814898,5814.898,-0.0,25.0,29.166666666666668,53.07289331475133,39.65909500418191,79.90048993589019,-0.0,25.0,33.33333333333333,60.4236282185866,→,→,↓,↑,1,1/3,⚪ EARLY / ISOLATED MOVEMENT,⚪ NEUTRAL,🔴 LOW,⚪ NEUTRAL,⚪ NEUTRAL,🟡 DELAYED,21.639365166666668,Research only — do not use for execution,,,,
