Ticker,T_action,Threshold,HitDate,HitLag,State,Bias3DownSeen,MTM3DownSeen,DMDownSeen,Post1D,Post3D,Post5D,Final10D_from_Taction
2882,2021-12-29,-2,2022-01-03,2,MOMENTUM_DETERIORATION,True,True,False,0.6493561631127021,0.6493561631127021,0.8116889141178696,6.984137058413076
2882,2022-08-11,-2,2022-08-24,9,MOMENTUM_DETERIORATION,True,True,False,0.43149474447274905,-1.6181199204135077,-3.8834944963710094,-1.377122078846571
2882,2022-08-11,-2,2022-08-24,9,MOMENTUM_DETERIORATION,True,True,False,0.43149474447274905,-1.6181199204135077,-3.8834944963710094,-1.377122078846571
2882,2022-08-11,-2,2022-08-24,9,MOMENTUM_DETERIORATION,True,True,False,0.43149474447274905,-1.6181199204135077,-3.8834944963710094,-1.377122078846571
2882,2023-05-11,-2,2023-05-12,1,MOMENTUM_DETERIORATION,True,True,False,1.6412589055065707,3.0480637527568133,5.861664503067043,0.8009118261112613
2882,2023-05-11,-2,2023-05-12,1,MOMENTUM_DETERIORATION,True,True,False,1.6412589055065707,3.0480637527568133,5.861664503067043,0.8009118261112613
2882,2023-05-19,-2,2023-05-25,4,MOMENTUM_DETERIORATION,True,True,False,-0.3405169438809974,1.0215681514946562,-0.11350564796033247,-1.5503892342910053
2882,2023-05-19,-3,2023-05-26,5,MOMENTUM_DETERIORATION,True,True,False,1.9362151357102508,0.9111564858280019,1.2528455989604614,-1.5503892342910053
2882,2023-09-12,-2,2023-09-20,6,DM_STATE_CHANGE,True,True,True,-1.7505453472755894,-1.8599612136279808,-2.4070071563552675,-4.715971470481117
2882,2023-09-12,-3,2023-09-21,7,DM_STATE_CHANGE,True,True,True,-0.44543598250030847,-1.0022288366295151,-0.7795150933717188,-4.715971470481117
2330,2022-01-04,-2,2022-01-06,2,EARLY_WARNING,True,False,False,-1.552795031055898,1.0869565217391353,2.6397515527950333,0.9146341463414531
2330,2022-01-04,-3,2022-01-06,2,EARLY_WARNING,True,False,False,-1.552795031055898,1.0869565217391353,2.6397515527950333,0.9146341463414531
2330,2022-05-31,-2,2022-06-01,1,EARLY_WARNING,True,False,False,-1.6393442622950838,-2.5500910746812377,-1.4571948998178486,-9.107142857142858
2330,2022-05-31,-3,2022-06-02,2,MOMENTUM_DETERIORATION,True,True,False,0.0,0.7407407407407307,-1.851851851851849,-9.107142857142858
2330,2022-05-31,-5,2022-06-07,4,MOMENTUM_DETERIORATION,True,True,False,1.6822429906542036,-0.9345794392523366,-4.112149532710285,-9.107142857142858
2330,2022-06-08,-2,2022-06-10,2,MOMENTUM_DETERIORATION,True,True,False,-2.6415094339622636,-3.9622641509433953,-5.471698113207546,-9.099264705882348
2330,2022-06-08,-3,2022-06-13,3,DM_STATE_CHANGE,True,True,True,-0.5813953488372103,-1.5503875968992276,-3.488372093023251,-9.099264705882348
2330,2022-06-08,-5,2022-06-13,3,DM_STATE_CHANGE,True,True,True,-0.5813953488372103,-1.5503875968992276,-3.488372093023251,-9.099264705882348
2330,2023-03-23,-2,2023-03-28,3,MOMENTUM_DETERIORATION,True,True,False,0.952380952380949,1.5238095238095273,1.1428571428571344,-2.6022304832713727
2330,2023-03-30,-2,2023-04-11,5,DM_STATE_CHANGE,True,True,True,-0.7633587786259555,-1.526717557251911,-1.717557251908397,-3.738317757009346
2330,2023-03-30,-3,2023-04-12,6,DM_STATE_CHANGE,True,True,True,-1.9230769230769273,0.0,-1.9230769230769273,-3.738317757009346
2330,2023-03-30,-2,2023-04-11,5,DM_STATE_CHANGE,True,True,True,-0.7633587786259555,-1.526717557251911,-1.717557251908397,-3.738317757009346
2330,2023-03-30,-3,2023-04-12,6,DM_STATE_CHANGE,True,True,True,-1.9230769230769273,0.0,-1.9230769230769273,-3.738317757009346
2330,2023-03-30,-2,2023-04-11,5,DM_STATE_CHANGE,True,True,True,-0.7633587786259555,-1.526717557251911,-1.717557251908397,-3.738317757009346
2330,2023-03-30,-3,2023-04-12,6,DM_STATE_CHANGE,True,True,True,-1.9230769230769273,0.0,-1.9230769230769273,-3.738317757009346
2330,2023-12-27,-2,2024-01-03,4,DM_STATE_CHANGE,True,True,True,0.34602076124568004,0.865051903114189,1.038062283737018,-1.0135135135135087
2330,2023-12-27,-3,2024-01-05,6,DM_STATE_CHANGE,True,True,True,1.215277777777768,1.388888888888884,1.388888888888884,-1.0135135135135087
2330,2023-12-27,-2,2024-01-03,4,DM_STATE_CHANGE,True,True,True,0.34602076124568004,0.865051903114189,1.038062283737018,-1.0135135135135087
2330,2023-12-27,-3,2024-01-05,6,DM_STATE_CHANGE,True,True,True,1.215277777777768,1.388888888888884,1.388888888888884,-1.0135135135135087
2330,2023-12-27,-2,2024-01-03,4,DM_STATE_CHANGE,True,True,True,0.34602076124568004,0.865051903114189,1.038062283737018,-1.0135135135135087
2330,2023-12-27,-3,2024-01-05,6,DM_STATE_CHANGE,True,True,True,1.215277777777768,1.388888888888884,1.388888888888884,-1.0135135135135087
2330,2023-12-28,-2,2024-01-03,3,DM_STATE_CHANGE,True,True,True,0.34602076124568004,0.865051903114189,1.038062283737018,-1.5177065767284947
2330,2023-12-28,-3,2024-01-05,5,DM_STATE_CHANGE,True,True,True,1.215277777777768,1.388888888888884,1.388888888888884,-1.5177065767284947
2330,2024-01-25,-2,2024-01-31,4,MOMENTUM_DETERIORATION,True,True,False,0.0,2.866242038216571,8.757961783439484,5.607476635514019
2330,2024-01-25,-3,2024-02-01,5,MOMENTUM_DETERIORATION,True,True,False,1.1146496815286566,10.987261146496818,7.961783439490455,5.607476635514019
2330,2024-09-24,-2,2024-09-30,4,MOMENTUM_DETERIORATION,True,True,False,1.5673981191222541,5.0156739811912265,6.583072100313481,5.876393110435663
2330,2024-09-24,-3,2024-09-30,4,MOMENTUM_DETERIORATION,True,True,False,1.5673981191222541,5.0156739811912265,6.583072100313481,5.876393110435663
2330,2024-09-25,-2,2024-09-30,3,MOMENTUM_DETERIORATION,True,True,False,1.5673981191222541,5.0156739811912265,6.583072100313481,3.9800995024875663
2330,2024-09-25,-3,2024-09-30,3,MOMENTUM_DETERIORATION,True,True,False,1.5673981191222541,5.0156739811912265,6.583072100313481,3.9800995024875663
2330,2025-01-07,-2,2025-01-08,1,EARLY_WARNING,True,False,False,-0.4524886877828038,-2.714932126696834,-3.6199095022624417,-0.8849557522123908
2330,2025-01-07,-3,2025-01-13,4,DM_STATE_CHANGE,True,True,True,1.3953488372093092,2.7906976744185963,4.1860465116279055,-0.8849557522123908
2330,2025-01-07,-5,2025-01-13,4,DM_STATE_CHANGE,True,True,True,1.3953488372093092,2.7906976744185963,4.1860465116279055,-0.8849557522123908
2330,2025-06-11,-2,2025-06-13,2,MOMENTUM_DETERIORATION,True,True,False,-0.4854368932038833,2.4271844660194164,2.4271844660194164,0.46948356807512415
2330,2025-06-11,-3,2025-06-13,2,MOMENTUM_DETERIORATION,True,True,False,-0.4854368932038833,2.4271844660194164,2.4271844660194164,0.46948356807512415
2330,2025-08-12,-2,2025-08-20,6,DM_STATE_CHANGE,True,True,True,1.3215859030837107,3.083700440528636,4.8458149779735615,-0.4237288135593209
2330,2025-08-12,-3,2025-08-20,6,DM_STATE_CHANGE,True,True,True,1.3215859030837107,3.083700440528636,4.8458149779735615,-0.4237288135593209
2330,2025-12-10,-2,2025-12-11,1,MOMENTUM_DETERIORATION,True,True,False,0.6802721088435382,-2.3809523809523836,-2.7210884353741527,-0.6644518272425293
2330,2025-12-10,-3,2025-12-15,3,MOMENTUM_DETERIORATION,True,True,False,-1.0344827586206917,-1.379310344827589,1.0344827586206806,-0.6644518272425293
2330,2025-12-10,-5,2025-12-16,4,DM_STATE_CHANGE,True,True,True,-0.34843205574912606,-0.34843205574912606,3.832752613240409,-0.6644518272425293
2454,2021-12-27,-2,2022-01-06,7,MOMENTUM_DETERIORATION,True,True,False,-3.083700440528636,-4.845814977973573,-3.083700440528636,-5.676855895196509
2454,2021-12-27,-3,2022-01-06,7,MOMENTUM_DETERIORATION,True,True,False,-3.083700440528636,-4.845814977973573,-3.083700440528636,-5.676855895196509
2454,2021-12-27,-5,2022-01-10,9,DM_STATE_CHANGE,True,True,True,-1.3698630136986356,0.45662100456620447,1.82648401826484,-5.676855895196509
2454,2022-02-17,-2,2022-02-18,1,EARLY_WARNING,True,False,False,0.8928571428571397,0.0,-3.125,-9.292035398230091
2454,2022-02-17,-3,2022-02-22,3,MOMENTUM_DETERIORATION,True,True,False,0.9009009009008917,-2.2522522522522515,-2.7027027027026973,-9.292035398230091
2454,2022-02-17,-5,2022-02-24,5,DM_STATE_CHANGE,True,True,True,2.358490566037741,1.8867924528301883,-3.301886792452835,-9.292035398230091
2454,2022-05-31,-2,2022-06-13,8,MOMENTUM_DETERIORATION,True,True,False,-0.7891770011273946,-1.5783540022547893,-5.29875986471251,-2.3204419889502725
2454,2022-05-31,-3,2022-06-14,9,MOMENTUM_DETERIORATION,True,True,False,0.454545454545463,-5.568181818181817,-1.3636363636363669,-2.3204419889502725
2454,2022-06-08,-2,2022-06-13,3,MOMENTUM_DETERIORATION,True,True,False,-0.7891770011273946,-1.5783540022547893,-5.29875986471251,-13.225806451612899
2454,2022-06-08,-3,2022-06-13,3,MOMENTUM_DETERIORATION,True,True,False,-0.7891770011273946,-1.5783540022547893,-5.29875986471251,-13.225806451612899
2454,2022-06-08,-5,2022-06-14,4,MOMENTUM_DETERIORATION,True,True,False,0.454545454545463,-5.568181818181817,-1.3636363636363669,-13.225806451612899
2454,2023-03-06,-2,2023-03-08,2,MOMENTUM_DETERIORATION,True,True,False,-0.13020833333333703,-0.520833333333337,-1.302083333333337,-1.7857142857142905
