Ticker,T_action,Winner,FWD10,B10Date,B20Date,B10toB20Lag,B10CloseDist,B20CloseDist,ExtraCloseDamage10to20,B10LowDist,B20LowDist,ExtraLowDamage10to20,MAE10,DamageAlreadyRealizedPct,LowAlreadySeenByB20,PostB20_1D,PostB20_3D,PostB20_5D,Bounce1D,Bounce3D,Bounce5D
2882,2023-05-11,True,0.8009118261112613,2023-05-12,2023-05-12,0,-2.4027442076179906,-2.4027442076179906,0.0,-2.4027442076179906,-2.4027442076179906,0.0,-2.9748265774929505,80.76921948313756,False,1.6412589055065707,3.0480637527568133,5.861664503067043,True,True,True
2882,2023-09-12,False,-4.715971470481117,2023-09-18,2023-09-20,2,-0.5359056630712344,-2.0364431551249673,-1.5005374920537329,-0.750272834662602,-2.1436226522849156,-1.3933498176223136,-4.823150967641066,44.444444444444386,False,-1.7505453472755894,-1.8599612136279808,-2.4070071563552675,False,False,False
2882,2023-11-21,False,-1.3001132588953523,2023-11-27,2023-12-05,6,-0.8667421725969016,-1.3001132588953523,-0.4333710862984508,-1.0834235828131478,-1.6251353742197217,-0.5417117914065739,-1.6251353742197217,100.0,True,-0.21953562194515497,-1.536774477857561,-1.7563100998027048,False,False,False
2330,2022-05-31,False,-9.107142857142858,2022-06-07,2022-06-10,3,-4.46428571428571,-5.35714285714286,-0.8928571428571503,-5.000000000000004,-5.535714285714288,-0.5357142857142838,-9.464285714285714,58.49056603773588,False,-2.6415094339622636,-3.9622641509433953,-5.471698113207546,False,False,False
2330,2022-06-08,False,-9.099264705882348,2022-06-10,2022-06-10,0,-2.573529411764708,-2.573529411764708,0.0,-2.757352941176472,-2.757352941176472,0.0,-9.099264705882348,30.303030303030333,False,-2.6415094339622636,-3.9622641509433953,-5.471698113207546,False,False,False
2330,2023-03-30,False,-3.738317757009346,2023-04-06,2023-04-12,4,-0.9345794392523366,-2.8037383177570097,-1.869158878504673,-1.6822429906542036,-3.364485981308407,-1.6822429906542036,-4.672897196261683,71.9999999999999,False,-1.9230769230769273,0.0,-1.9230769230769273,False,False,False
2330,2023-12-19,False,-1.1965811965811923,2023-12-21,2024-01-03,8,-1.3675213675213627,-1.1965811965811923,0.17094017094017033,-1.7094017094017144,-1.538461538461533,0.17094017094018144,-1.7094017094017144,89.99999999999942,True,0.34602076124568004,0.865051903114189,1.038062283737018,True,True,True
2330,2023-12-27,False,-1.0135135135135087,2024-01-03,2024-01-03,0,-2.3648648648648685,-2.3648648648648685,0.0,-2.7027027027026973,-2.7027027027026973,0.0,-3.0405405405405372,88.8888888888888,False,0.34602076124568004,0.865051903114189,1.038062283737018,True,True,True
2330,2023-12-28,False,-1.5177065767284947,2024-01-03,2024-01-03,0,-2.5295109612141653,-2.5295109612141653,0.0,-2.866779089376059,-2.866779089376059,0.0,-3.204047217537942,89.4736842105265,False,0.34602076124568004,0.865051903114189,1.038062283737018,True,True,True
2330,2025-01-07,False,-0.8849557522123908,2025-01-13,2025-01-13,0,-4.867256637168138,-4.867256637168138,0.0,-5.309734513274334,-5.309734513274334,0.0,-5.752212389380529,92.3076923076923,False,1.3953488372093092,2.7906976744185963,4.1860465116279055,True,True,True
2330,2025-08-12,False,-0.4237288135593209,2025-08-20,2025-08-20,0,-3.8135593220338992,-3.8135593220338992,0.0,-3.8135593220338992,-3.8135593220338992,0.0,-3.8135593220338992,100.0,True,1.3215859030837107,3.083700440528636,4.8458149779735615,True,True,True
2330,2025-12-10,False,-0.6644518272425293,2025-12-15,2025-12-16,1,-3.6544850498338888,-4.651162790697672,-0.9966777408637832,-3.9867109634551534,-5.3156146179402,-1.328903654485047,-5.980066445182719,88.88888888888899,False,-0.34843205574912606,-0.34843205574912606,3.832752613240409,False,False,True
2454,2021-12-27,False,-5.676855895196509,2022-01-06,2022-01-07,1,-0.8733624454148492,-3.9301310043668103,-3.056768558951961,-3.056768558951961,-4.8034934497816595,-1.7467248908296984,-6.986899563318783,68.74999999999994,False,-0.4545454545454519,-1.3636363636363669,-3.1818181818181857,False,False,False
2454,2022-02-17,False,-9.292035398230093,2022-02-18,2022-02-24,4,-0.8849557522123908,-6.194690265486724,-5.309734513274333,-2.212389380530977,-6.63716814159292,-4.424778761061942,-9.292035398230091,71.4285714285714,False,2.358490566037741,1.8867924528301883,-3.301886792452835,True,True,False
2454,2022-06-08,False,-13.2258064516129,2022-06-13,2022-06-16,3,-4.623655913978498,-6.129032258064515,-1.5053763440860175,-4.8387096774193505,-6.5591397849462325,-1.720430107526882,-13.440860215053762,48.799999999999976,False,-4.810996563573888,-0.572737686139746,-21.07674684994273,False,False,False
2454,2025-09-09,False,-8.94039735099338,2025-09-19,2025-09-22,1,-4.635761589403975,-6.9536423841059625,-2.3178807947019875,-4.635761589403975,-7.284768211920534,-2.649006622516559,-8.94039735099338,81.48148148148151,False,-2.135231316725983,-4.270462633451954,-6.4056939501779375,False,False,False
2454,2025-09-16,False,-16.28664495114006,2025-09-19,2025-09-22,1,-6.1889250814332275,-8.469055374592838,-2.28013029315961,-6.1889250814332275,-8.794788273615639,-2.6058631921824116,-16.28664495114006,54.000000000000036,False,-2.135231316725983,-4.270462633451954,-6.4056939501779375,False,False,False
2454,2026-01-05,False,-2.622950819672132,2026-01-09,2026-01-09,0,-6.8852459016393475,-6.8852459016393475,0.0,-7.21311475409836,-7.21311475409836,0.0,-7.21311475409836,100.0,True,1.760563380281699,5.633802816901401,5.98591549295775,True,True,True
0050,2022-06-08,False,-7.220499092706268,2022-06-10,2022-06-13,1,-1.319879299190363,-4.076086859943862,-2.756207560753499,-1.8633551778057589,-4.153731348411338,-2.2903761706055787,-7.336959901964645,56.61379377716208,False,-0.16188148336420127,-0.8498608060073853,-3.0756802573010944,False,False,False
0050,2025-01-07,False,-2.78864829669655,2025-01-13,2025-01-13,0,-4.892368052155794,-4.892368052155794,0.0,-5.0391331215914885,-5.0391331215914885,0.0,-5.210368989481429,96.7135558300069,False,0.6172902493352339,1.877576784913404,2.006177611996307,True,True,True
0050,2025-12-08,False,-0.4709564104669272,2025-12-15,2025-12-17,2,-1.4128752199364603,-2.825744451337253,-1.412869231400793,-2.040815104380478,-2.9042421768614712,-0.8634270724809934,-3.3751985873283874,86.04655701637698,False,0.0,2.4232632682131383,3.1502373185353427,False,True,True
