Ticker,T_action,Winner,FWD10,MAE10,JWarn,B10Warn,DMWarn,JLag,B10Lag,DMLag,JCloseDist,B10CloseDist,DMCloseDist,JLowDist,B10LowDist,DMLowDist,FirstFamily,ComboCount,Combo
2882,2021-12-27,True,5.220228354059264,0.0,True,False,False,3.0,,,1.9575895831189793,,,1.9575895831189793,,,J,1,J_ONLY
2882,2021-12-28,True,3.852328935226424,-1.6051375746027996,True,False,False,2.0,,,0.3210300025610291,,,0.3210300025610291,,,J,1,J_ONLY
2882,2021-12-29,True,6.984137058413076,-2.6984109998412054,True,False,False,1.0,,,-0.7936452293648588,,,-0.7936452293648588,,,J,1,J_ONLY
2882,2022-01-06,True,6.12902772235957,-0.4838750498763922,True,False,False,7.0,,,7.258057007017515,,,7.258057007017515,,,J,1,J_ONLY
2882,2022-08-11,False,-1.377122078846571,-2.118645563447108,True,True,False,1.0,7.0,,0.10593309904101122,-0.6355903855595368,,-0.4237323961640116,-0.7415234846005481,,J,2,J+B10
2882,2023-01-13,True,2.5119599431226547,-0.4784707334686611,True,False,False,3.0,,,2.1531137375738307,,,0.9569414669373,,,J,1,J_ONLY
2882,2023-01-30,True,0.4683858533160556,-1.0538659365318392,True,True,True,4.0,8.0,10.0,1.4051486262310453,-0.23419739351658864,0.46838585331605564,1.2880543963313063,-0.46838585331604454,-1.0538659365318392,J,3,J+B10+DM
2882,2023-05-11,True,0.8009118261112613,-2.9748265774929505,True,True,False,1.0,1.0,,-2.4027442076179906,-2.4027442076179906,,-2.4027442076179906,-2.4027442076179906,,J,2,J+B10
2882,2023-05-16,True,2.0642237554506115,-0.45870861293926257,True,True,False,4.0,7.0,,3.5550529954211596,1.0321118777253169,,3.4403670928803587,0.9174347244905068,,J,2,J+B10
2882,2023-05-17,True,0.7963560137551395,-0.45506429912989255,True,True,True,3.0,6.0,10.0,2.7303771151497847,0.22752780975014986,0.7963560137551395,2.616604530645117,0.11376390487507493,0.7963560137551395,J,3,J+B10+DM
2882,2023-05-19,False,-1.5503892342910053,-3.1007784685820217,True,True,True,1.0,4.0,8.0,0.0,-2.4363283535834723,-1.882618516261092,-0.11074872661778201,-2.5470686312596302,-1.882618516261092,J,3,J+B10+DM
