Ticker,T_action,FWD10,Winner,MAE10,IntactBreathingMAE,FirstDeterioration,DeteriorationLag,DistanceAtDetClose,DistanceAtDetLow
2882,2021-12-27,5.220228354059264,True,0.0,0.3262670373714194,BIAS3,3,1.9575895831189793,1.9575895831189793
2882,2021-12-28,3.852328935226424,True,-1.6051375746027996,0.3210300025610291,BIAS3,2,0.3210300025610291,0.3210300025610291
2882,2021-12-29,6.984137058413076,True,-2.6984109998412054,0.0,BIAS3,1,-0.7936452293648588,-0.7936452293648588
2882,2022-01-06,6.12902772235957,True,-0.4838750498763922,-0.4838750498763922,BIAS3,7,7.258057007017515,7.258057007017515
2882,2022-08-11,-1.377122078846571,False,-2.118645563447108,-0.4237323961640116,BIAS3,3,-0.21186619808201135,-0.21186619808201135
2882,2023-01-13,2.5119599431226547,True,-0.4784707334686611,-0.4784707334686611,BIAS3,7,3.5885168119095923,3.468901410059977
2882,2023-01-30,0.4683858533160556,True,-1.0538659365318392,-0.5854800832157836,BIAS3,4,1.4051486262310453,1.2880543963313063
2882,2023-05-11,0.8009118261112613,True,-2.9748265774929505,0.0,BIAS3,1,-2.4027442076179906,-2.4027442076179906
2882,2023-05-16,2.0642237554506115,True,-0.45870861293926257,-0.45870861293926257,BIAS3,5,2.752295424165485,2.522941117695865
2882,2023-05-17,0.7963560137551395,True,-0.45506429912989255,0.0,BIAS3,4,1.9340124217650745,1.7064846120149246
2882,2023-05-19,-1.5503892342910053,False,-3.1007784685820217,-0.11074872661778201,BIAS3,2,-0.7751988416163091,-0.996679396968625
2882,2023-09-12,-4.715971470481117,False,-4.823150967641066,-0.32154666875132687,BIAS3,3,0.0,-0.1071876744314415
2882,2023-11-15,0.0,False,-0.6557360372908105,-0.5464480874316946,BIAS3,3,-0.10928794985911594,-0.6557360372908105
2882,2023-11-21,-1.3001132588953523,False,-1.6251353742197217,-0.21668967608220457,BIAS3,4,-0.8667421725969016,-1.0834235828131478
2882,2024-03-07,8.24972327496154,True,-0.22296204575967815,-0.22296204575967815,BIAS3,7,6.020068795537159,5.351174152801219
2882,2024-09-19,4.938266662867674,True,-0.4629676506622826,-0.4629676506622826,BIAS3,6,4.166661760934809,3.24073823336668
2882,2024-09-23,3.66972701817021,True,-0.1529028620611328,-0.1529028620611328,BIAS3,4,3.211006766246216,2.2935779281388013
2330,2021-12-28,7.317073170731714,True,-0.1626016260162566,-0.1626016260162566,BIAS3,2,0.0,0.0
2330,2022-01-04,0.9146341463414532,True,-4.4207317073170715,-1.5243902439024404,BIAS3,2,-1.8292682926829285,-3.0487804878048808
2330,2022-05-31,-9.107142857142858,False,-9.464285714285714,0.0,BIAS3,1,-1.9642857142857184,-2.1428571428571463
2330,2022-06-08,-9.099264705882348,False,-9.099264705882348,-1.2867647058823484,BIAS3,2,-2.573529411764708,-2.757352941176472
2330,2023-01-13,8.000000000000007,True,-0.10000000000000009,-0.10000000000000009,BIAS3,4,4.400000000000004,4.200000000000004
2330,2023-03-23,-2.6022304832713727,False,-2.9739776951672847,-0.5576208178438624,BIAS3,2,-1.3011152416356864,-1.3011152416356864
2330,2023-03-30,-3.738317757009346,False,-4.672897196261683,-0.5607476635513975,BIAS3,2,-0.9345794392523366,-1.6822429906542036
