Ticker,T_action,FWD10,Winner,MAE10,B3Cross,B5Cross,B10Cross,B20Cross,B3Lag,B5Lag,B10Lag,B20Lag,B3CloseDist,B5CloseDist,B10CloseDist,B20CloseDist,B3LowDist,B5LowDist,B10LowDist,B20LowDist,CascadeDepth,Ordered35,Ordered3510,Ordered351020
2882,2021-12-27,5.220228354059264,True,0.0,True,True,False,False,3,4.0,,,1.9575895831189793,0.4893942355023606,,,1.9575895831189793,0.4893942355023606,,,2,True,False,False
2882,2021-12-28,3.852328935226424,True,-1.6051375746027996,True,True,False,False,2,3.0,,,0.3210300025610291,-1.1235987898624233,,,0.3210300025610291,-1.1235987898624233,,,2,True,False,False
2882,2021-12-29,6.984137058413076,True,-2.6984109998412054,True,True,False,False,1,2.0,,,-0.7936452293648588,-2.222222632222237,,,-0.7936452293648588,-2.222222632222237,,,2,True,False,False
2882,2022-01-06,6.12902772235957,True,-0.4838750498763922,True,True,False,False,7,9.0,,,7.258057007017515,6.61290277223594,,,7.258057007017515,5.806444355775331,,,2,True,False,False
2882,2022-08-11,-1.377122078846571,False,-2.118645563447108,True,True,True,False,3,5.0,7.0,,-0.21186619808201135,0.10593309904101122,-0.6355903855595368,,-0.21186619808201135,-0.31779929712301147,-0.7415234846005481,,3,True,True,False
2882,2023-01-13,2.5119599431226547,True,-0.4784707334686611,True,True,False,False,7,8.0,,,3.5885168119095923,2.0334983357242153,,,3.468901410059977,1.9138738078043893,,,2,True,False,False
2882,2023-01-30,0.4683858533160556,True,-1.0538659365318392,True,True,True,False,4,5.0,8.0,,1.4051486262310453,-0.11709422989973906,-0.23419739351658864,,1.2880543963313063,-0.23419739351658864,-0.46838585331604454,,3,True,True,False
2882,2023-05-11,0.8009118261112613,True,-2.9748265774929505,True,True,True,True,1,1.0,1.0,1.0,-2.4027442076179906,-2.4027442076179906,-2.4027442076179906,-2.4027442076179906,-2.4027442076179906,-2.4027442076179906,-2.4027442076179906,-2.4027442076179906,4,True,True,True
2882,2023-05-16,2.0642237554506115,True,-0.45870861293926257,True,True,True,False,5,6.0,7.0,,2.752295424165485,2.752295424165485,1.0321118777253169,,2.522941117695865,1.7201835464401682,0.9174347244905068,,3,True,True,False
2882,2023-05-17,0.7963560137551395,True,-0.45506429912989255,True,True,True,False,4,5.0,6.0,,1.9340124217650745,1.9340124217650745,0.22752780975014986,,1.7064846120149246,0.9101199186301923,0.11376390487507493,,3,True,True,False
2882,2023-05-19,-1.5503892342910053,False,-3.1007784685820217,True,True,True,False,2,3.0,4.0,,-0.7751988416163091,-0.7751988416163091,-2.4363283535834723,,-0.996679396968625,-1.7718782385849452,-2.5470686312596302,,3,True,True,False
2882,2023-09-12,-4.715971470481117,False,-4.823150967641066,True,True,True,True,3,3.0,4.0,6.0,0.0,0.0,-0.5359056630712344,-2.0364431551249673,-0.1071876744314415,-0.1071876744314415,-0.750272834662602,-2.1436226522849156,4,True,True,True
2882,2023-11-15,0.0,False,-0.6557360372908105,True,True,True,False,3,8.0,8.0,,-0.10928794985911594,0.0,0.0,,-0.6557360372908105,-0.21857589971824298,-0.21857589971824298,,3,True,True,False
2882,2023-11-21,-1.3001132588953523,False,-1.6251353742197217,True,True,True,True,4,4.0,4.0,10.0,-0.8667421725969016,-0.8667421725969016,-0.8667421725969016,-1.3001132588953523,-1.0834235828131478,-1.0834235828131478,-1.0834235828131478,-1.6251353742197217,4,True,True,True
2882,2024-03-07,8.24972327496154,True,-0.22296204575967815,True,True,False,False,7,9.0,,,6.020068795537159,5.9085877726573255,,,5.351174152801219,5.79710674977747,,,2,True,False,False
2882,2024-09-19,4.938266662867674,True,-0.4629676506622826,True,True,True,False,6,7.0,9.0,,4.166661760934809,2.623451957069123,1.8518470551362576,,3.24073823336668,2.623451957069123,1.5432098038657083,,3,True,True,False
2882,2024-09-23,3.66972701817021,True,-0.1529028620611328,True,True,True,False,4,5.0,7.0,,3.211006766246216,1.6819548141536744,0.9174288381073925,,2.2935779281388013,1.6819548141536744,0.6116231139851269,,3,True,True,False
2330,2021-12-28,7.317073170731714,True,-0.1626016260162566,True,True,False,False,2,7.0,,,0.0,3.0894308943089532,,,0.0,2.764227642276418,,,2,True,False,False
2330,2022-01-04,0.9146341463414532,True,-4.4207317073170715,True,True,False,False,2,3.0,,,-1.8292682926829285,-3.353658536585369,,,-3.0487804878048808,-3.658536585365857,,,2,True,False,False
2330,2022-05-31,-9.107142857142858,False,-9.464285714285714,True,True,True,True,1,2.0,4.0,7.0,-1.9642857142857184,-3.57142857142857,-4.46428571428571,-5.35714285714286,-2.1428571428571463,-3.57142857142857,-5.000000000000004,-5.535714285714288,4,True,True,True
2330,2022-06-08,-9.099264705882348,False,-9.099264705882348,True,True,True,True,2,2.0,2.0,2.0,-2.573529411764708,-2.573529411764708,-2.573529411764708,-2.573529411764708,-2.757352941176472,-2.757352941176472,-2.757352941176472,-2.757352941176472,4,True,True,True
2330,2023-01-13,8.000000000000007,True,-0.10000000000000009,True,True,True,False,4,8.0,9.0,,4.400000000000004,5.200000000000005,4.600000000000004,,4.200000000000004,5.200000000000005,4.400000000000004,,3,True,True,False
2330,2023-03-23,-2.6022304832713727,False,-2.9739776951672847,True,True,True,False,2,2.0,7.0,,-1.3011152416356864,-1.3011152416356864,-1.486988847583648,,-1.3011152416356864,-1.3011152416356864,-2.2304832713754608,,3,True,True,False
2330,2023-03-30,-3.738317757009346,False,-4.672897196261683,True,True,True,True,2,2.0,2.0,6.0,-0.9345794392523366,-0.9345794392523366,-0.9345794392523366,-2.8037383177570097,-1.6822429906542036,-1.6822429906542036,-1.6822429906542036,-3.364485981308407,4,True,True,True
2330,2023-05-18,3.9622641509434064,True,-1.132075471698113,True,True,False,False,3,4.0,,,0.0,-0.9433962264150941,,,-0.9433962264150941,-1.132075471698113,,,2,True,False,False
2330,2023-05-25,2.946593001841613,True,1.2891344383057168,True,True,True,False,3,4.0,10.0,,4.23572744014733,2.7624309392265234,2.946593001841613,,3.6832412523020164,1.4732965009208066,2.20994475138121,,3,True,True,False
2330,2023-12-19,-1.1965811965811923,False,-1.7094017094017144,True,True,True,True,2,2.0,2.0,10.0,-1.3675213675213627,-1.3675213675213627,-1.3675213675213627,-1.1965811965811923,-1.7094017094017144,-1.7094017094017144,-1.7094017094017144,-1.538461538461533,4,True,True,True
2330,2023-12-27,-1.0135135135135087,False,-3.0405405405405372,True,True,True,True,4,4.0,4.0,4.0,-2.3648648648648685,-2.3648648648648685,-2.3648648648648685,-2.3648648648648685,-2.7027027027026973,-2.7027027027026973,-2.7027027027026973,-2.7027027027026973,4,True,True,True
2330,2023-12-28,-1.5177065767284947,False,-3.204047217537942,True,True,True,True,3,3.0,3.0,3.0,-2.5295109612141653,-2.5295109612141653,-2.5295109612141653,-2.5295109612141653,-2.866779089376059,-2.866779089376059,-2.866779089376059,-2.866779089376059,4,True,True,True
2330,2024-01-19,1.437699680511173,True,-1.1182108626198062,True,True,True,False,7,8.0,8.0,,2.5559105431310014,0.31948881789136685,0.31948881789136685,,2.5559105431310014,0.0,0.0,,3,True,True,False
2330,2024-01-25,5.607476635514019,True,-3.5825545171339512,True,True,True,False,3,4.0,4.0,,0.0,-2.180685358255452,-2.180685358255452,,0.0,-2.492211838006231,-2.492211838006231,,3,True,True,False
2330,2024-09-20,3.802672147995878,True,-1.6443987667009274,True,True,True,False,5,6.0,6.0,,2.7749229188078095,-1.6443987667009274,-1.6443987667009274,,2.7749229188078095,-1.6443987667009274,-1.6443987667009274,,3,True,True,False
2330,2024-09-24,5.876393110435663,True,-3.039513677811545,True,True,True,False,3,4.0,4.0,,1.317122593718345,-3.039513677811545,-3.039513677811545,,1.317122593718345,-3.039513677811545,-3.039513677811545,,3,True,True,False
2330,2024-09-25,3.9800995024875663,True,-4.7761194029850795,True,True,True,False,2,3.0,3.0,,-0.497512437810943,-4.7761194029850795,-4.7761194029850795,,-0.497512437810943,-4.7761194029850795,-4.7761194029850795,,3,True,True,False
2330,2025-01-07,-0.8849557522123908,False,-5.752212389380529,True,True,True,True,1,2.0,4.0,4.0,-2.212389380530977,-2.6548672566371723,-4.867256637168138,-4.867256637168138,-2.212389380530977,-2.6548672566371723,-5.309734513274334,-5.309734513274334,4,True,True,True
2330,2025-06-11,0.4694835680751241,True,-4.694835680751175,True,True,True,False,1,2.0,8.0,,-1.8779342723004744,-3.2863849765258246,-4.225352112676061,,-1.8779342723004744,-3.7558685446009377,-4.694835680751175,,3,True,True,False
2330,2025-08-12,-0.4237288135593209,False,-3.8135593220338992,True,True,True,True,2,2.0,6.0,6.0,-0.4237288135593209,-0.4237288135593209,-3.8135593220338992,-3.8135593220338992,-0.4237288135593209,-0.4237288135593209,-3.8135593220338992,-3.8135593220338992,4,True,True,True
2330,2025-09-09,11.66666666666667,True,1.2499999999999956,True,True,False,False,6,8.0,,,5.41666666666667,5.41666666666667,,,5.41666666666667,5.41666666666667,,,2,True,False,False
2330,2025-09-10,9.387755102040815,True,0.8163265306122547,True,True,False,False,5,7.0,,,3.2653061224489743,3.2653061224489743,,,3.2653061224489743,3.2653061224489743,,,2,True,False,False
2330,2025-09-11,6.451612903225801,True,0.8064516129032251,True,True,False,False,4,6.0,,,2.016129032258074,2.016129032258074,,,2.016129032258074,2.016129032258074,,,2,True,False,False
2330,2025-09-16,3.515625,True,-1.171875,True,True,False,False,1,3.0,,,-1.171875,-1.171875,,,-1.171875,-1.171875,,,2,True,False,False
