Ticker,T_action,FWD10,Winner,WarningDate,WarningLag,BiasPersistence,RecoveryLag,MTMFollowLag,DMFollowLag,WarningCloseDist,WarningLowDist,PostWarningMAE,Transient,Persistent,Cascade2,Cascade3,State
2882,2021-12-27,5.220228354059264,True,2021-12-30,3,3,3.0,1.0,,1.9575895831189793,1.9575895831189793,0.0,False,True,True,False,CASCADE_2
2882,2021-12-28,3.852328935226424,True,2021-12-30,2,3,3.0,1.0,,0.3210300025610291,0.3210300025610291,-1.6051375746027996,False,True,True,False,CASCADE_2
2882,2021-12-29,6.984137058413076,True,2021-12-30,1,3,3.0,1.0,,-0.7936452293648588,-0.7936452293648588,-2.6984109998412054,False,True,True,False,CASCADE_2
2882,2022-01-06,6.12902772235957,True,2022-01-17,7,4,,1.0,,7.258057007017515,7.258057007017515,4.838706754409494,False,True,True,False,CASCADE_2
2882,2022-08-11,-1.377122078846571,False,2022-08-16,3,1,1.0,0.0,,-0.21186619808201135,-0.21186619808201135,-2.118645563447108,True,False,True,False,CASCADE_2
2882,2023-01-13,2.5119599431226547,True,2023-02-03,7,3,3.0,1.0,,3.5885168119095923,3.468901410059977,1.9138738078043893,False,True,True,False,CASCADE_2
2882,2023-01-30,0.4683858533160556,True,2023-02-03,4,3,3.0,1.0,6.0,1.4051486262310453,1.2880543963313063,-1.0538659365318392,False,True,True,True,CASCADE_3
2882,2023-05-11,0.8009118261112613,True,2023-05-12,1,1,1.0,0.0,,-2.4027442076179906,-2.4027442076179906,-2.9748265774929505,True,False,True,False,CASCADE_2
2882,2023-05-16,2.0642237554506115,True,2023-05-23,5,4,4.0,1.0,,2.752295424165485,2.522941117695865,0.3440402090104433,False,True,True,False,CASCADE_2
2882,2023-05-17,0.7963560137551395,True,2023-05-23,4,4,4.0,1.0,6.0,1.9340124217650745,1.7064846120149246,-0.45506429912989255,False,True,True,True,CASCADE_3
2882,2023-05-19,-1.5503892342910053,False,2023-05-23,2,4,4.0,1.0,6.0,-0.7751988416163091,-0.996679396968625,-3.1007784685820217,False,True,True,True,CASCADE_3
2882,2023-09-12,-4.715971470481117,False,2023-09-15,3,6,6.0,1.0,3.0,0.0,-0.1071876744314415,-4.823150967641066,False,True,True,True,CASCADE_3
2882,2023-11-15,0.0,False,2023-11-20,3,1,1.0,0.0,,-0.10928794985911594,-0.6557360372908105,-0.6557360372908105,True,False,True,False,CASCADE_2
2882,2023-11-21,-1.3001132588953523,False,2023-11-27,4,3,3.0,0.0,6.0,-0.8667421725969016,-1.0834235828131478,-1.6251353742197217,False,True,True,True,CASCADE_3
2882,2024-03-07,8.24972327496154,True,2024-03-18,7,1,1.0,1.0,,6.020068795537159,5.351174152801219,5.12821210704153,True,False,True,False,CASCADE_2
2882,2024-09-19,4.938266662867674,True,2024-09-27,6,4,4.0,1.0,,4.166661760934809,3.24073823336668,1.5432098038657083,False,True,True,False,CASCADE_2
2882,2024-09-23,3.66972701817021,True,2024-09-27,4,4,4.0,1.0,,3.211006766246216,2.2935779281388013,0.6116231139851269,False,True,True,False,CASCADE_2
2330,2021-12-28,7.317073170731714,True,2021-12-30,2,1,1.0,5.0,,0.0,0.0,0.0,True,False,True,False,CASCADE_2
2330,2022-01-04,0.9146341463414532,True,2022-01-06,2,2,2.0,1.0,,-1.8292682926829285,-3.0487804878048808,-4.4207317073170715,False,True,True,False,CASCADE_2
2330,2022-05-31,-9.107142857142858,False,2022-06-01,1,4,4.0,1.0,7.0,-1.9642857142857184,-2.1428571428571463,-9.464285714285714,False,True,True,True,CASCADE_3
2330,2022-06-08,-9.099264705882348,False,2022-06-10,2,7,7.0,0.0,1.0,-2.573529411764708,-2.757352941176472,-9.099264705882348,False,True,True,True,CASCADE_3
2330,2023-01-13,8.000000000000007,True,2023-01-31,4,2,2.0,2.0,,4.400000000000004,4.200000000000004,4.200000000000004,False,True,True,False,CASCADE_2
2330,2023-03-23,-2.6022304832713727,False,2023-03-27,2,2,2.0,0.0,8.0,-1.3011152416356864,-1.3011152416356864,-2.9739776951672847,False,True,True,True,CASCADE_3
2330,2023-03-30,-3.738317757009346,False,2023-04-06,2,6,6.0,1.0,3.0,-0.9345794392523366,-1.6822429906542036,-4.672897196261683,False,True,True,True,CASCADE_3
2330,2023-05-18,3.9622641509434064,True,2023-05-23,3,2,2.0,1.0,,0.0,-0.9433962264150941,-1.132075471698113,False,True,True,False,CASCADE_2
2330,2023-05-25,2.946593001841613,True,2023-05-30,3,3,3.0,1.0,,4.23572744014733,3.6832412523020164,1.2891344383057168,False,True,True,False,CASCADE_2
2330,2023-12-19,-1.1965811965811923,False,2023-12-21,2,1,1.0,0.0,0.0,-1.3675213675213627,-1.7094017094017144,-1.7094017094017144,True,False,True,True,CASCADE_3
2330,2023-12-27,-1.0135135135135087,False,2024-01-03,4,3,3.0,0.0,0.0,-2.3648648648648685,-2.7027027027026973,-3.0405405405405372,False,True,True,True,CASCADE_3
2330,2023-12-28,-1.5177065767284947,False,2024-01-03,3,3,3.0,0.0,0.0,-2.5295109612141653,-2.866779089376059,-3.204047217537942,False,True,True,True,CASCADE_3
2330,2024-01-19,1.437699680511173,True,2024-01-30,7,3,3.0,1.0,,2.5559105431310014,2.5559105431310014,-1.1182108626198062,False,True,True,False,CASCADE_2
