Ticker,T_action,FWD10,Winner,Failure,RawRows
0050,2021-12-24,3.1457531660253224,True,False,2
0050,2021-12-27,2.878952015949188,True,False,1
2454,2021-12-27,-5.676855895196509,False,True,1
2882,2021-12-27,5.220228354059264,True,False,1
2330,2021-12-28,7.317073170731714,True,False,1
2882,2021-12-28,3.852328935226424,True,False,1
2882,2021-12-29,6.984137058413076,True,False,1
2330,2022-01-04,0.9146341463414532,True,False,1
2882,2022-01-06,6.12902772235957,True,False,1
2454,2022-02-17,-9.292035398230093,False,True,1
2603,2022-04-21,5.841924398625431,True,False,1
2603,2022-05-04,-9.24092409240924,False,True,2
2454,2022-05-30,0.2277904328018332,True,False,2
2330,2022-05-31,-9.107142857142858,False,True,1
2454,2022-05-31,-2.3204419889502725,False,True,1
0050,2022-06-08,-7.220499092706268,False,True,1
2330,2022-06-08,-9.099264705882348,False,True,1
2454,2022-06-08,-13.2258064516129,False,True,1
2882,2022-08-11,-1.377122078846571,False,True,3
0050,2022-11-09,10.622008109206792,True,False,1
0050,2022-11-11,7.064217383708438,True,False,2
2603,2022-11-14,1.2861736334405238,True,False,2
2603,2022-12-22,-7.288629737609331,False,True,1
2382,2023-01-04,5.825249190739212,True,False,1
2382,2023-01-10,2.8378357758393147,True,False,1
2330,2023-01-13,8.000000000000007,True,False,1
2882,2023-01-13,2.5119599431226547,True,False,4
2382,2023-01-16,4.588396215779045,True,False,1
2882,2023-01-30,0.4683858533160556,True,False,1
2603,2023-03-01,7.051282051282048,True,False,1
2454,2023-03-06,-1.7857142857142905,False,True,1
0050,2023-03-23,-0.8206811756443222,False,True,1
2330,2023-03-23,-2.6022304832713727,False,True,1
2330,2023-03-30,-3.738317757009346,False,True,3
2882,2023-05-11,0.8009118261112613,True,False,2
2882,2023-05-16,2.0642237554506115,True,False,1
2882,2023-05-17,0.7963560137551395,True,False,2
0050,2023-05-18,2.4559966946577694,True,False,1
2330,2023-05-18,3.9622641509434064,True,False,1
2882,2023-05-19,-1.5503892342910053,False,True,1
2454,2023-05-22,7.659574468085117,True,False,2
2454,2023-05-23,5.72625698324023,True,False,1
2330,2023-05-25,2.946593001841613,True,False,1
2603,2023-06-12,1.2861736334405238,True,False,2
2603,2023-06-14,-42.10526315789473,False,True,2
2454,2023-09-05,7.660167130919215,True,False,1
2882,2023-09-12,-4.715971470481117,False,True,1
2603,2023-09-14,5.936073059360725,True,False,1
2603,2023-09-15,-4.2194092827004255,False,True,1
2382,2023-10-06,-17.878192534381142,False,True,1
2882,2023-11-15,0.0,False,True,1
2382,2023-11-20,-6.839622641509435,False,True,1
2382,2023-11-21,-10.344827586206897,False,True,1
2882,2023-11-21,-1.3001132588953523,False,True,3
2603,2023-12-04,19.409282700421947,True,False,1
2603,2023-12-08,29.11392405063291,True,False,1
0050,2023-12-15,1.3089005534363984,True,False,1
2330,2023-12-19,-1.1965811965811923,False,True,1
2382,2023-12-21,0.0,False,True,1
2330,2023-12-27,-1.0135135135135087,False,True,3
2330,2023-12-28,-1.5177065767284947,False,True,1
2382,2023-12-28,6.451612903225801,True,False,2
2382,2023-12-29,0.8908685968819663,True,False,2
2330,2024-01-19,1.437699680511173,True,False,2
2330,2024-01-25,5.607476635514019,True,False,1
2454,2024-02-15,13.683127572016463,True,False,2
2603,2024-02-29,10.876132930513592,True,False,2
2882,2024-03-07,8.24972327496154,True,False,3
2382,2024-03-22,11.456310679611658,True,False,1
2603,2024-04-26,9.89304812834224,True,False,1
2382,2024-06-19,-2.531645569620256,False,True,3
2382,2024-06-20,-6.36363636363636,False,True,1
2603,2024-08-13,2.8011204481792618,True,False,1
2603,2024-08-14,0.8264462809917328,True,False,1
2603,2024-08-16,1.0752688172043,True,False,2
2603,2024-09-18,-0.5347593582887722,False,True,1
2882,2024-09-19,4.938266662867674,True,False,1
2330,2024-09-20,3.802672147995878,True,False,1
2603,2024-09-20,0.0,False,True,1
2882,2024-09-23,3.66972701817021,True,False,1
0050,2024-09-24,3.8648615656672094,True,False,1
2330,2024-09-24,5.876393110435663,True,False,1
2603,2024-09-24,-8.823529411764708,False,True,1
0050,2024-09-25,2.423437044877663,True,False,2
2330,2024-09-25,3.9800995024875663,True,False,1
2603,2024-09-25,-10.739856801909308,False,True,1
2382,2024-10-09,11.517367458866534,True,False,2
2382,2024-10-11,9.92907801418439,True,False,1
0050,2025-01-07,-2.78864829669655,False,True,1
2330,2025-01-07,-0.8849557522123908,False,True,1
2330,2025-06-11,0.4694835680751241,True,False,1
2454,2025-07-09,5.535055350553497,True,False,2
2454,2025-07-10,2.1428571428571352,True,False,1
2330,2025-08-12,-0.4237288135593209,False,True,1
0050,2025-09-09,8.441556787110605,True,False,2
2330,2025-09-09,11.66666666666667,True,False,1
2454,2025-09-09,-8.94039735099338,False,True,2
0050,2025-09-10,6.278436242108798,True,False,1
2330,2025-09-10,9.387755102040815,True,False,1
2330,2025-09-11,6.451612903225801,True,False,1
0050,2025-09-16,2.3788519367772487,True,False,1
2330,2025-09-16,3.515625,True,False,1
2454,2025-09-16,-16.28664495114006,False,True,1
0050,2025-12-08,-0.4709564104669272,False,True,1
2330,2025-12-10,-0.6644518272425293,False,True,1
2603,2025-12-19,2.156334231805923,True,False,4
2603,2025-12-23,4.0322580645161255,True,False,1
2454,2026-01-05,-2.622950819672132,False,True,2
2382,2026-02-10,1.403508771929829,True,False,1
0050,2026-02-11,-4.663210643045323,False,True,1
0050,2026-02-24,-1.5113407488356323,False,True,1
2382,2026-02-25,-3.025210084033614,False,True,2
2603,2026-02-25,10.15625,True,False,1
2382,2026-03-02,-3.9867109634551534,False,True,1
2330,2026-04-09,6.39386189258313,True,False,1
2382,2026-04-09,2.8753993610223683,True,False,1
2603,2026-05-05,-5.288461538461542,False,True,1
2603,2026-05-06,0.2358490566037652,True,False,1
