Ticker,T_action,FWD10,Winner
2882,2021-12-27,5.220228354059264,True
2882,2021-12-28,3.8523289352264234,True
2882,2021-12-29,6.984137058413076,True
2882,2022-01-06,6.12902772235957,True
2882,2022-08-11,-1.377122078846571,False
2882,2022-08-11,-1.377122078846571,False
2882,2022-08-11,-1.377122078846571,False
2882,2023-01-13,2.5119599431226547,True
2882,2023-01-13,2.5119599431226547,True
2882,2023-01-13,2.5119599431226547,True
2882,2023-01-13,2.5119599431226547,True
2882,2023-01-30,0.46838585331605564,True
2882,2023-05-11,0.8009118261112613,True
2882,2023-05-11,0.8009118261112613,True
2882,2023-05-16,2.0642237554506115,True
2882,2023-05-17,0.7963560137551395,True
2882,2023-05-17,0.7963560137551395,True
2882,2023-05-19,-1.5503892342910053,False
2882,2023-09-12,-4.715971470481117,False
2882,2023-11-15,0.0,False
2882,2023-11-21,-1.3001132588953523,False
2882,2023-11-21,-1.3001132588953523,False
2882,2023-11-21,-1.3001132588953523,False
2882,2024-03-07,8.24972327496154,True
2882,2024-03-07,8.24972327496154,True
2882,2024-03-07,8.24972327496154,True
2882,2024-09-19,4.938266662867674,True
2882,2024-09-23,3.66972701817021,True
2330,2021-12-28,7.317073170731714,True
2330,2022-01-04,0.9146341463414531,True
2330,2022-05-31,-9.107142857142858,False
2330,2022-06-08,-9.099264705882348,False
2330,2023-01-13,8.000000000000007,True
2330,2023-03-23,-2.6022304832713727,False
2330,2023-03-30,-3.738317757009346,False
2330,2023-03-30,-3.738317757009346,False
2330,2023-03-30,-3.738317757009346,False
2330,2023-05-18,3.9622641509434064,True
2330,2023-05-25,2.946593001841613,True
2330,2023-12-19,-1.1965811965811923,False
2330,2023-12-27,-1.0135135135135087,False
2330,2023-12-27,-1.0135135135135087,False
2330,2023-12-27,-1.0135135135135087,False
2330,2023-12-28,-1.5177065767284947,False
2330,2024-01-19,1.437699680511173,True
2330,2024-01-19,1.437699680511173,True
2330,2024-01-25,5.607476635514019,True
2330,2024-09-20,3.802672147995878,True
2330,2024-09-24,5.876393110435663,True
2330,2024-09-25,3.9800995024875663,True
2330,2025-01-07,-0.8849557522123908,False
2330,2025-06-11,0.46948356807512415,True
2330,2025-08-12,-0.4237288135593209,False
2330,2025-09-09,11.66666666666667,True
2330,2025-09-10,9.387755102040817,True
2330,2025-09-11,6.451612903225801,True
2330,2025-09-16,3.515625,True
2330,2025-12-10,-0.6644518272425293,False
2330,2026-04-09,6.39386189258313,True
2454,2021-12-27,-5.676855895196509,False
2454,2022-02-17,-9.292035398230091,False
2454,2022-05-30,0.2277904328018332,True
2454,2022-05-30,0.2277904328018332,True
2454,2022-05-31,-2.3204419889502725,False
2454,2022-06-08,-13.225806451612899,False
2454,2023-03-06,-1.7857142857142905,False
2454,2023-05-22,7.659574468085117,True
2454,2023-05-22,7.659574468085117,True
2454,2023-05-23,5.72625698324023,True
2454,2023-09-05,7.660167130919215,True
2454,2024-02-15,13.683127572016463,True
2454,2024-02-15,13.683127572016463,True
2454,2025-07-09,5.535055350553497,True
2454,2025-07-09,5.535055350553497,True
2454,2025-07-10,2.1428571428571352,True
2454,2025-09-09,-8.94039735099338,False
2454,2025-09-09,-8.94039735099338,False
2454,2025-09-16,-16.28664495114006,False
2454,2026-01-05,-2.622950819672132,False
2454,2026-01-05,-2.622950819672132,False
0050,2021-12-24,3.1457531660253224,True
0050,2021-12-24,3.1457531660253224,True
0050,2021-12-27,2.8789520159491877,True
0050,2022-06-08,-7.220499092706268,False
0050,2022-11-09,10.622008109206792,True
0050,2022-11-11,7.064217383708438,True
0050,2022-11-11,7.064217383708438,True
0050,2023-03-23,-0.8206811756443222,False
0050,2023-05-18,2.4559966946577694,True
0050,2023-12-15,1.3089005534363984,True
0050,2024-09-24,3.8648615656672103,True
0050,2024-09-25,2.423437044877663,True
0050,2024-09-25,2.423437044877663,True
0050,2025-01-07,-2.78864829669655,False
0050,2025-09-09,8.441556787110605,True
0050,2025-09-09,8.441556787110605,True
0050,2025-09-10,6.278436242108798,True
